[TRAIN_BEGIN] rows=24000 expected_steps~=1500 state.max_steps=1500 batch=4 grad_accum=4 epochs=1
[TRAIN_LOG] step=890/1500 | epoch=0.5933 | elapsed=163.6m | eta=112.1m | steps_per_sec=0.0907 | loss=0.011816 | lr=3.76e-05 | grad_norm=0.1641
[TRAIN_LOG] step=900/1500 | epoch=0.6000 | elapsed=165.4m | eta=110.3m | steps_per_sec=0.0907 | loss=0.011211 | lr=3.65e-05 | grad_norm=0.1572
[TRAIN_LOG] step=910/1500 | epoch=0.6067 | elapsed=167.2m | eta=108.4m | steps_per_sec=0.0907 | loss=0.012994 | lr=3.55e-05 | grad_norm=0.1030
[TRAIN_LOG] step=920/1500 | epoch=0.6133 | elapsed=169.1m | eta=106.6m | steps_per_sec=0.0907 | loss=0.013125 | lr=3.44e-05 | grad_norm=0.1660
[TRAIN_LOG] step=930/1500 | epoch=0.6200 | elapsed=170.9m | eta=104.7m | steps_per_sec=0.0907 | loss=0.016678 | lr=3.34e-05 | grad_norm=0.1523
[TRAIN_LOG] step=940/1500 | epoch=0.6267 | elapsed=172.7m | eta=102.9m | steps_per_sec=0.0907 | loss=0.014459 | lr=3.24e-05 | grad_norm=0.2334
[TRAIN_LOG] step=950/1500 | epoch=0.6333 | elapsed=174.6m | eta=101.1m | steps_per_sec=0.0907 | loss=0.012644 | lr=3.14e-05 | grad_norm=0.2637
[TRAIN_LOG] step=960/1500 | epoch=0.6400 | elapsed=176.4m | eta=99.2m | steps_per_sec=0.0907 | loss=0.012978 | lr=3.04e-05 | grad_norm=0.1611
[TRAIN_LOG] step=970/1500 | epoch=0.6467 | elapsed=178.2m | eta=97.4m | steps_per_sec=0.0907 | loss=0.010373 | lr=2.94e-05 | grad_norm=0.1689
[TRAIN_LOG] step=980/1500 | epoch=0.6533 | elapsed=180.1m | eta=95.6m | steps_per_sec=0.0907 | loss=0.011207 | lr=2.84e-05 | grad_norm=0.1895
[TRAIN_LOG] step=990/1500 | epoch=0.6600 | elapsed=181.9m | eta=93.7m | steps_per_sec=0.0907 | loss=0.010502 | lr=2.75e-05 | grad_norm=0.1631
[TRAIN_LOG] step=1000/1500 | epoch=0.6667 | elapsed=183.7m | eta=91.9m | steps_per_sec=0.0907 | loss=0.013011 | lr=2.65e-05 | grad_norm=0.2080
[TRAIN_LOG] step=1010/1500 | epoch=0.6733 | elapsed=185.6m | eta=90.0m | steps_per_sec=0.0907 | loss=0.012157 | lr=2.56e-05 | grad_norm=0.2178
[TRAIN_LOG] step=1020/1500 | epoch=0.6800 | elapsed=187.4m | eta=88.2m | steps_per_sec=0.0907 | loss=0.011032 | lr=2.46e-05 | grad_norm=0.1230
